Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29104,1.7,0.02,1.2,10696,1.4,0.03,1,15770,1.7,0.02,1.3
"Under 6 years",6871,1,0.03,0.8,3145,0.9,0.03,0.8,3128,1,0.04,0.8
"6–11 years",3134,1.2,0.05,0.9,1446,1.2,0.06,1,1439,1.2,0.06,0.9
"12–19 years",3121,1.3,0.04,0.9,1345,1.2,0.07,0.8,1470,1.4,0.05,0.9
"20–59 years",10939,1.8,0.02,1.4,3329,1.6,0.06,1,6709,1.9,0.03,1.5
"60 years and over",5039,1.9,0.03,1.6,1431,1.6,0.06,1.2,3024,2,0.04,1.8
