| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 270.66         |
| 12–15 | 334.85         |
| 16–19 | 320.77         |
| 20–29 | 307.49         |
| 30–39 | 319.44         |
| 40–49 | 328.86         |
| 50–59 | 329.99         |
| 60–69 | 343.74         |
| 70–79 | 321.86         |
| 80+   | 318.42         |
