| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 6.8  |
| 6m–8m  | 8.2  |
| 9m–11m | 9    |
| 1      | 10.9 |
| 2      | 13.2 |
| 3      | 15.4 |
| 4      | 17.9 |
| 5      | 20.2 |
| 6      | 22.6 |
| 7      | 26.4 |
| 8      | 29.9 |
| 9      | 34.4 |
| 10     | 37.9 |
| 11     | 44.2 |
| 12     | 49   |
| 13     | 55.8 |
| 14     | 58.5 |
| 15     | 58.1 |
| 16     | 61.3 |
| 17     | 62.4 |
| 18     | 61.2 |
| 19     | 63.2 |
| 20+    | 69.2 |
| 20–29  | 64.5 |
| 30–39  | 70.1 |
| 40–49  | 71.6 |
| 50–59  | 74.4 |
| 60–69  | 70.9 |
| 70–79  | 67.4 |
| 80+    | 60.5 |
