| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 7.4  |
| 6m–8m  | 8.8  |
| 9m–11m | 9.6  |
| 1      | 11.6 |
| 2      | 13.6 |
| 3      | 15.8 |
| 4      | 17.7 |
| 5      | 20.1 |
| 6      | 23.3 |
| 7      | 26.3 |
| 8      | 30.2 |
| 9      | 34.4 |
| 10     | 37.3 |
| 11     | 42.5 |
| 12     | 49.1 |
| 13     | 54   |
| 14     | 64.1 |
| 15     | 66.9 |
| 16     | 68.8 |
| 17     | 72.9 |
| 18     | 71.3 |
| 19     | 73   |
| 20+    | 82.1 |
| 20–29  | 78.3 |
| 30–39  | 83   |
| 40–49  | 85.1 |
| 50–59  | 86   |
| 60–69  | 83.1 |
| 70–79  | 79   |
| 80+    | 71.8 |
