Age,Median
"All ages",854
"2–11 months",453
"1–2 years",488
"3–5 years",521
"6–11 years",563
"12–15 years",592
"16–19 years",697
"20–29 years",870
"30–39 years",1043
"40–49 years",949
"50–59 years",1091
"60–69 years",1270
"70–79 years",1243
"80 years and over",1140
