Age,"Total : Sample size","Total : Mean","Total : Standard error","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error"
"All ages",13923,5.5,0.67,4929,3.2,1.04,7770,5.7,0.62
"Under 6 years",3410,0.6,0.23,1564,0.2,0.1,1548,0.8,0.38
"6–11 years",1581,1.4,0.6,713,0.4,0.21,746,1.8,0.88
"12–19 years",1462,2,1.12,634,1.2,0.56,674,2.5,1.68
"20–59 years",5019,6.1,1.05,1390,3.6,1.98,3226,5.8,0.77
"60 years and over",2451,12.4,1.41,628,13.2,4.15,1576,12.3,1.57
