"Cause of death (both sexes, 15–19 years)",Number,"Percent of total deaths","Death rate"
"All causes",10258,100,48.7
"Accidents (unintentional injuries)",3537,34.5,16.8
"Intentional self-harm (suicide)",2210,21.5,10.5
"Assault (homicide)",1877,18.3,8.9
"Malignant neoplasms",589,5.7,2.8
"Diseases of heart",288,2.8,1.4
"Congenital malformations, deformations and chromosomal abnormalities",188,1.8,0.9
"Influenza and pneumonia",71,0.7,0.3
"Chronic lower respiratory diseases",60,0.6,0.3
"Diabetes mellitus",59,0.6,0.3
"Cerebrovascular diseases",58,0.6,0.3
"All other causes",1321,12.9,6.3
