"Cause of death (both sexes, 75–84 years)",Number,"Percent of total deaths","Death rate"
"All causes",688027,100,4308.3
"Malignant neoplasms",160639,23.3,1005.9
"Diseases of heart",158287,23,991.2
"Chronic lower respiratory diseases",50791,7.4,318
"Cerebrovascular diseases",40592,5.9,254.2
"Alzheimer disease",33566,4.9,210.2
"Diabetes mellitus",22185,3.2,138.9
"Accidents (unintentional injuries)",18438,2.7,115.5
"Parkinson disease",14902,2.2,93.3
"Nephritis, nephrotic syndrome and nephrosis",14720,2.1,92.2
"Influenza and pneumonia",12332,1.8,77.2
"All other causes",161575,23.5,1011.7
