"Cause of death (both sexes, 65–74 years)",Number,"Percent of total deaths","Death rate"
"All causes",555559,100,1764.6
"Malignant neoplasms",171062,30.8,543.3
"Diseases of heart",122421,22,388.8
"Chronic lower respiratory diseases",39238,7.1,124.6
"Cerebrovascular diseases",24051,4.3,76.4
"Diabetes mellitus",23069,4.2,73.3
"Accidents (unintentional injuries)",17163,3.1,54.5
"Nephritis, nephrotic syndrome and nephrosis",10938,2,34.7
"Chronic liver disease and cirrhosis",10411,1.9,33.1
Septicemia,8810,1.6,28
"Influenza and pneumonia",8603,1.5,27.3
"All other causes",119793,21.6,380.5
