Age,"Sample size"
"2 years",508
"3 years",566
"4 years",526
"5 years",555
"6 years",274
"7 years",271
"8 years",245
"9 years",272
"10 years",257
"11 years",270
"12 years",233
"13 years",218
"14 years",220
"15 years",196
"16 years",210
"17 years",212
"18 years",188
"19 years",187
"20 years and older",8443
"20–29 years",1805
"30–39 years",1798
"40–49 years",1312
"50–59 years",968
"60–69 years",1092
"70–79 years",873
"80 years and older",595
