| Age   | Sample size |
| ----- | ----------- |
| 2     | 529         |
| 3     | 486         |
| 4     | 544         |
| 5     | 496         |
| 6     | 280         |
| 7     | 269         |
| 8     | 262         |
| 9     | 276         |
| 10    | 294         |
| 11    | 282         |
| 12    | 202         |
| 13    | 182         |
| 14    | 187         |
| 15    | 185         |
| 16    | 192         |
| 17    | 193         |
| 18    | 170         |
| 19    | 164         |
| 20+   | 7497        |
| 20–29 | 1586        |
| 30–39 | 1437        |
| 40–49 | 1181        |
| 50–59 | 820         |
| 60–69 | 1116        |
| 70–79 | 797         |
| 80+   | 560         |
