| Age   | Sample size |
| ----- | ----------- |
| 2     | 508         |
| 3     | 566         |
| 4     | 526         |
| 5     | 555         |
| 6     | 274         |
| 7     | 271         |
| 8     | 245         |
| 9     | 272         |
| 10    | 257         |
| 11    | 270         |
| 12    | 233         |
| 13    | 218         |
| 14    | 220         |
| 15    | 196         |
| 16    | 210         |
| 17    | 212         |
| 18    | 188         |
| 19    | 187         |
| 20+   | 8443        |
| 20–29 | 1805        |
| 30–39 | 1798        |
| 40–49 | 1312        |
| 50–59 | 968         |
| 60–69 | 1092        |
| 70–79 | 873         |
| 80+   | 595         |
