Age,"Standard error"
"3–5 months",0.11
"6–8 months",0.11
"9–11 months",0.11
"1 year",0.09
"2 years",0.1
"3 years",0.09
"4 years",0.11
"5 years",0.11
"6 years",0.18
"7 years",0.2
"8 years",0.19
"9 years",0.22
"10 years",0.21
"11 years",0.23
"12 years",0.25
"13 years",0.27
"14 years",0.24
"15 years",0.26
"16 years",0.26
"17 years",0.23
"18 years",0.29
"19 years",0.26
"20 years and older",0.04
"20–29 years",0.07
"30–39 years",0.06
"40–49 years",0.07
"50–59 years",0.09
"60–69 years",0.09
"70–79 years",0.1
"80 years and older",0.11
