Age,"Standard error"
"3–5 months",0.11
"6–8 months",0.11
"9–11 months",0.11
"1 year",0.09
"2 years",0.08
"3 years",0.1
"4 years",0.1
"5 years",0.11
"6 years",0.18
"7 years",0.18
"8 years",0.18
"9 years",0.2
"10 years",0.25
"11 years",0.2
"12 years",0.28
"13 years",0.31
"14 years",0.31
"15 years",0.31
"16 years",0.28
"17 years",0.24
"18 years",0.27
"19 years",0.27
"20 years and older",0.05
"20–29 years",0.08
"30–39 years",0.08
"40–49 years",0.09
"50–59 years",0.11
"60–69 years",0.09
"70–79 years",0.11
"80 years and older",0.13
