| Age   | 5th     | 10th    | 15th    | 25th    | 50th    | 75th    | 85th    | 90th    | 95th    |
| ----- | ------- | ------- | ------- | ------- | ------- | ------- | ------- | ------- | ------- |
| 8–11  | 947.33  | 985.99  | 1018.96 | 1053.72 | 1134.88 | 1239.17 | 1311.97 | 1392.53 | 1502    |
| 12–15 | 1208.32 | 1263.22 | 1315.73 | 1427.1  | 1663.72 | 1880.48 | 1984.57 | 2045.21 | 2117.6  |
| 16–19 | 1658.06 | 1729.86 | 1778.28 | 1853.01 | 1990.1  | 2132.23 | 2212.23 | 2267.14 | 2355.97 |
| 20–29 | 1712.17 | 1794.55 | 1841.66 | 1911.46 | 2038.87 | 2170.79 | 2253.6  | 2312.77 | 2399.69 |
| 30–39 | 1725.98 | 1787.79 | 1838.74 | 1908    | 2036.54 | 2175.17 | 2247.59 | 2311.95 | 2380.63 |
| 40–49 | 1760.12 | 1838.54 | 1880.08 | 1946.96 | 2063.25 | 2194.31 | 2260.24 | 2303.73 | 2375.01 |
| 50–59 | 1735.33 | 1804.15 | 1849.68 | 1920.03 | 2051.1  | 2169.4  | 2235.13 | 2294.27 | 2355.27 |
| 60–69 | 1702.39 | 1794.62 | 1837.24 | 1913.96 | 2042.18 | 2168.84 | 2239.34 | 2276.87 | 2346.17 |
| 70–79 | 1658.32 | 1737.52 | 1781.99 | 1855.57 | 1995.52 | 2131.38 | 2192.18 | 2234.15 | 2292.95 |
| 80+   | 1577.96 | 1657.86 | 1706.72 | 1783.71 | 1904.64 | 2028.27 | 2092.83 | 2148.87 | 2225.72 |
