"Cause of death (both sexes, 20–24 years)",Number,"Percent of total deaths","Death rate"
"All causes",19513,100,90.2
"Accidents (unintentional injuries)",8218,42.1,38
"Intentional self-harm (suicide)",3744,19.2,17.3
"Assault (homicide)",2897,14.8,13.4
"Malignant neoplasms",799,4.1,3.7
"Diseases of heart",584,3,2.7
"Congenital malformations, deformations and chromosomal abnormalities",202,1,0.9
"Diabetes mellitus",189,1,0.9
"Pregnancy, childbirth and the puerperium",126,0.6,0.6
"Chronic lower respiratory diseases",108,0.6,0.5
"Influenza and pneumonia",104,0.5,0.5
"All other causes",2542,13,11.8
