Age,"Standard error of the mean"
"7-74 years",0.89
"7-11 years",1.67
"12-17 years",1.69
"18-24 years",1.41
"25-34 years",0.79
"35-44 years",1.67
"45-54 years",2.24
"55-64 years",1.63
"65-74 years",1.96
