| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.86           |
| 7-11 years  | 1.52           |
| 12-17 years | 1.52           |
| 18-24 years | 0.97           |
| 25-34 years | 0.92           |
| 35-44 years | 1.46           |
| 45-54 years | 2.2            |
| 55-64 years | 1.36           |
| 65-74 years | 1.83           |
