Age,"Standard error"
"7-74 years",1.12
"7-11 years",1.76
"12-17 years",1.5
"18-24 years",1.15
"25-34 years",1.04
"35-44 years",1.73
"45-54 years",3.06
"55-64 years",2.17
"65-74 years",1.89
