Age,"Standard error"
"All ages",57.4
"2–11 months",46.9
"1–2 years",41.2
"3–5 years",81
"6–11 years",88.2
"12–15 years",64.2
"16–19 years",75.3
"20–29 years",259.1
"30–39 years",79.8
"40–49 years",71
"50–59 years",122.2
"60–69 years",95
"70–79 years",133
"80 years and over",115.4
