Age,Mean
"8–11 years",421.28
"12–15 years",571.19
"16–19 years",615.73
"20–29 years",625.48
"30–39 years",626.05
"40–49 years",624.34
"50–59 years",609.59
"60–69 years",591.82
"70–79 years",563.81
"80 years and over",521.99
"20 years and over (age-adjusted)",609.51
