"Cause of death",Number
"All causes",802369
"Diseases of heart",263178
"Malignant neoplasms",202358
"Cerebrovascular diseases",54200
"Chronic lower respiratory diseases",51924
"Influenza and pneumonia",24709
"Diabetes mellitus",22198
"Accidents (unintentional injuries)",15115
"Nephritis, nephrotic syndrome and nephrosis",14448
"Alzheimer’s disease.",14188
Septicemia,10085
"All other causes",129966
