"Cause of death",Number
"All causes",997456
"Diseases of heart",330529
"Malignant neoplasms",190008
"Cerebrovascular diseases",93845
"Chronic lower respiratory diseases",54451
"Alzheimer’s disease.",34805
"Influenza and pneumonia",33848
"Diabetes mellitus",30216
"Nephritis, nephrotic syndrome and nephrosis",16777
"Accidents (unintentional injuries)",15936
Septicemia,14701
"All other causes",182340
