Age,Mean
"8–11 years",0.7
"12–15 years",0.9
"16–19 years",1.1
"20–39 years",1.3
"40–59 years",1.5
"60–79 years",1.6
"80 years and older",1.4
"20 years and older",1.5
"20 years and older (age adjusted)",1.5
