Age,Mean
"8–11 years",0.8
"12–15 years",1.1
"16–19 years",1.4
"20–39 years",1.7
"40–59 years",2
"60–79 years",2
"80 years and older",1.6
"20 years and older",1.9
"20 years and older (age adjusted)",1.9
