Age,"Standard deviation"
Birth,0.52
"2 months",0.54
"3 months",0.72
"4 months",0.89
"5 months",0.88
"6 months",0.8
"7 months",1.42
"8 months",0.94
"9 months",0.93
"10 months",1.06
"11 months",1.01
"12–14 months",1.05
"15–17 months",1.11
"18–20 months",1.36
"21–23 months",1.33
"24–29 months",1.51
"30–35 months",1.69
