Age,"Standard deviation"
Birth,0.55
"2 months",0.79
"3 months",0.85
"4 months",0.78
"5 months",0.92
"6 months",1.07
"7 months",1.13
"8 months",1.13
"9 months",0.94
"10 months",1.1
"11 months",0.99
"12–14 months",1.17
"15–17 months",1.86
"18–20 months",1.54
"21–23 months",1.33
"24–29 months",1.65
"30–35 months",1.53
