Age,Median
"All ages",71
"2–11 months",104
"1–2 years",68
"3–5 years",84
"6–11 years",78
"12–15 years",65
"16–19 years",62
"20–29 years",65
"30–39 years",65
"40–49 years",62
"50–59 years",70
"60–69 years",87
"70–79 years",84
"80 years and over",92
