| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 28.4               |
| 7-11 years  | 12.9               |
| 12-17 years | 13.6               |
| 18-24 years | 14.3               |
| 25-34 years | 14.7               |
| 35-44 years | 20.9               |
| 45-54 years | 26.7               |
| 55-64 years | 27.8               |
| 65-74 years | 24.8               |
