| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 27                 |
| 7-11 years  | 12.2               |
| 12-17 years | 13.1               |
| 18-24 years | 14.8               |
| 25-34 years | 14                 |
| 35-44 years | 19.7               |
| 45-54 years | 26.6               |
| 55-64 years | 26.6               |
| 65-74 years | 25.9               |
