Age,"Standard deviation"
"7-74 years",24.6
"7-11 years",11.6
"12-17 years",12.3
"18-24 years",13.5
"25-34 years",12.6
"35-44 years",17.4
"45-54 years",25.9
"55-64 years",23.5
"65-74 years",28.2
