Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,130.38,24.9,95.56,102.22,107.03,113.97,127.27,143.53,154.86,165.07,175.41
"12–15 years",2318,180.92,27.63,135.63,144.54,152.99,162.59,179.9,198.36,210.14,216.67,225.63
"16–19 years",2027,198.92,25.25,161.21,169.08,173.39,181.72,197.58,214.46,223.11,229.73,242.81
"20–29 years",1378,206.65,23.75,168.15,175.87,181.59,190.81,206.57,222.03,231.76,236.84,245.86
"30–39 years",1372,210.39,23.09,174.76,182.39,186.57,194.13,209.78,223.92,232.98,240.26,251.84
"40–49 years",1570,214.08,23,177.16,185.26,190.34,198.54,214.31,228.49,237.83,244.37,252.59
"50–59 years",1200,211.75,24.04,173.12,180.63,186.13,195.67,211.11,227.22,235.92,243.75,252.47
"60–69 years",1419,208.68,25.94,167.34,175.29,181.65,191.53,208.52,224.63,233.76,240.64,251.14
"70–79 years",750,200.72,26.07,162.88,168.53,174.51,182.84,198.97,218.04,227.43,233.97,244.56
"80 years and over",594,185.97,28.23,136.7,150.6,158.28,167.87,186.75,205.59,213.34,219.86,230.15
"20 years and over (age-adjusted)",8283,208.6,,,,,,,,,,
