"Cause of death (female, 75–84 years)",Number,"Percent of total deaths","Death rate"
"All causes",332927,100,3710.9
"Malignant neoplasms",74391,22.3,829.2
"Diseases of heart",70025,21,780.5
"Chronic lower respiratory diseases",26610,8,296.6
"Cerebrovascular diseases",21911,6.6,244.2
"Alzheimer disease",20871,6.3,232.6
"Diabetes mellitus",10080,3,112.4
"Accidents (unintentional injuries)",8100,2.4,90.3
"Nephritis, nephrotic syndrome and nephrosis",7097,2.1,79.1
"Influenza and pneumonia",5751,1.7,64.1
"Parkinson disease",5275,1.6,58.8
"All other causes",82816,24.9,923.1
