| Age       | Standard deviation |
| --------- | ------------------ |
| 2.0-2.4   | 1.65               |
| 2.5-2.9   | 1.53               |
| 3.0-3.4   | 1.76               |
| 3.5-3.9   | 2.48               |
| 4.0-4.4   | 2.28               |
| 4.5-4.9   | 2.41               |
| 5.0-5.4   | 2.96               |
| 5.5-5.9   | 3.05               |
| 6.0-6.4   | 3.24               |
| 6.5-6.9   | 3.77               |
| 7.0-7.4   | 3.83               |
| 7.5-7.9   | 3.94               |
| 8.0-8.4   | 4.52               |
| 8.5-8.9   | 5.48               |
| 9.0-9.4   | 6.5                |
| 9.5-9.9   | 7.07               |
| 10.0-10.4 | 6.39               |
| 10.5-10.9 | 7.71               |
| 11.0-11.4 | 7.61               |
| 11.5-11.9 | 10.31              |
| 12.0-12.4 | 9.33               |
| 12.5-12.9 | 9.9                |
| 13.0-13.4 | 10.68              |
| 13.5-13.9 | 12.13              |
| 14.0-14.4 | 11.13              |
| 14.5-14.9 | 11.68              |
| 15.0-15.4 | 11.55              |
| 15.5-15.9 | 11.58              |
| 16.0-16.4 | 11.94              |
| 16.5-16.9 | 12.06              |
| 17.0-17.4 | 12.23              |
| 17.5-17.9 | 11.18              |
| 18.0-18.4 | 14.72              |
| 18.5-18.9 | 12.25              |
| 19.0-19.4 | 11.37              |
| 19.5-19.9 | 12.26              |
