Age,"Sample size"
"8–11 years",1421
"12–15 years",2264
"16–19 years",2309
"20–29 years",1530
"30–39 years",1450
"40–49 years",1549
"50–59 years",1187
"60–69 years",1350
"70–79 years",825
"80 years and over",501
"20 years and over (age-adjusted)",8392
