| Age               | Mean |
| ----------------- | ---- |
| All ages          | 16   |
| 2–11 months       | 4    |
| 1–2 years         | 9    |
| 3–5 years         | 11   |
| 6–11 years        | 14   |
| 12–15 years       | 14   |
| 16–19 years       | 16   |
| 20–29 years       | 16   |
| 30–39 years       | 17   |
| 40–49 years       | 17   |
| 50–59 years       | 17   |
| 60–69 years       | 17   |
| 70–79 years       | 17   |
| 80 years and over | 15   |
