| Age               | Mean |
| ----------------- | ---- |
| All ages          | 14   |
| 2–11 months       | 4    |
| 1–2 years         | 9    |
| 3–5 years         | 11   |
| 6–11 years        | 13   |
| 12–15 years       | 13   |
| 16–19 years       | 13   |
| 20–29 years       | 13   |
| 30–39 years       | 14   |
| 40–49 years       | 14   |
| 50–59 years       | 14   |
| 60–69 years       | 15   |
| 70–79 years       | 15   |
| 80 years and over | 14   |
