Age,"Sample size"
"2 years",581
"3 years",508
"4 years",551
"5 years",497
"6 years",282
"7 years",270
"8 years",269
"9 years",277
"10 years",294
"11 years",282
"12 years",203
"13 years",186
"14 years",189
"15 years",187
"16 years",194
"17 years",192
"18 years",173
"19 years",165
"20 years and older",7603
"20–29 years",1611
"30–39 years",1463
"40–49 years",1200
"50–59 years",831
"60–69 years",1125
"70–79 years",804
"80 years and older",569
