| Age   | Sample size |
| ----- | ----------- |
| 2     | 581         |
| 3     | 508         |
| 4     | 551         |
| 5     | 497         |
| 6     | 282         |
| 7     | 270         |
| 8     | 269         |
| 9     | 277         |
| 10    | 294         |
| 11    | 282         |
| 12    | 203         |
| 13    | 186         |
| 14    | 189         |
| 15    | 187         |
| 16    | 194         |
| 17    | 192         |
| 18    | 173         |
| 19    | 165         |
| 20+   | 7603        |
| 20–29 | 1611        |
| 30–39 | 1463        |
| 40–49 | 1200        |
| 50–59 | 831         |
| 60–69 | 1125        |
| 70–79 | 804         |
| 80+   | 569         |
