Age,"Sample size"
"2 years",548
"3 years",584
"4 years",530
"5 years",556
"6 years",272
"7 years",275
"8 years",245
"9 years",278
"10 years",261
"11 years",275
"12 years",237
"13 years",219
"14 years",218
"15 years",196
"16 years",217
"17 years",215
"18 years",190
"19 years",192
"20 years and older",8598
"20–29 years",1837
"30–39 years",1837
"40–49 years",1338
"50–59 years",981
"60–69 years",1107
"70–79 years",894
"80 years and older",604
