Age,"Standard error"
"8–11 years",7.08
"12–15 years",7.53
"16–19 years",7.43
"20–29 years",7.65
"30–39 years",7.91
"40–49 years",8.16
"50–59 years",8
"60–69 years",8.5
"70–79 years",8.37
"80 years and over",8.63
