| Age               | Median |
| ----------------- | ------ |
| All ages          | 21     |
| 2–11 months       | 5      |
| 1–2 years         | 13     |
| 3–5 years         | 17     |
| 6–11 years        | 19     |
| 12–15 years       | 21     |
| 16–19 years       | 23     |
| 20–29 years       | 23     |
| 30–39 years       | 23     |
| 40–49 years       | 22     |
| 50–59 years       | 21     |
| 60–69 years       | 21     |
| 70–79 years       | 20     |
| 80 years and over | 18     |
