Age,Median
"All ages",24
"2–11 months",6
"1–2 years",14
"3–5 years",18
"6–11 years",21
"12–15 years",24
"16–19 years",27
"20–29 years",27
"30–39 years",28
"40–49 years",27
"50–59 years",26
"60–69 years",24
"70–79 years",22
"80 years and over",22
