| Age               | Median |
| ----------------- | ------ |
| All ages          | 11.4   |
| 2–11 months       | 16.1   |
| 1–2 years         | 13.1   |
| 3–5 years         | 12.2   |
| 6–11 years        | 12.4   |
| 12–15 years       | 11.7   |
| 16–19 years       | 11.6   |
| 20–29 years       | 11.2   |
| 30–39 years       | 11.5   |
| 40–49 years       | 11.1   |
| 50–59 years       | 11.2   |
| 60–69 years       | 10.4   |
| 70–79 years       | 10.4   |
| 80 years and over | 10.4   |
