| Age               | Median |
| ----------------- | ------ |
| All ages          | 11.6   |
| 2–11 months       | 16     |
| 1–2 years         | 13     |
| 3–5 years         | 12.2   |
| 6–11 years        | 12.4   |
| 12–15 years       | 12.1   |
| 16–19 years       | 11.9   |
| 20–29 years       | 11.5   |
| 30–39 years       | 11.4   |
| 40–49 years       | 11     |
| 50–59 years       | 11.4   |
| 60–69 years       | 10.7   |
| 70–79 years       | 10.9   |
| 80 years and over | 10.7   |
