| Age               | Median |
| ----------------- | ------ |
| All ages          | 11.3   |
| 2–11 months       | 16.2   |
| 1–2 years         | 13.3   |
| 3–5 years         | 12.4   |
| 6–11 years        | 12.2   |
| 12–15 years       | 11.4   |
| 16–19 years       | 11.4   |
| 20–29 years       | 11     |
| 30–39 years       | 11.5   |
| 40–49 years       | 11.3   |
| 50–59 years       | 10.9   |
| 60–69 years       | 10.3   |
| 70–79 years       | 10     |
| 80 years and over | 10.2   |
