Age,"Standard error of the mean"
"7-74 years",0.47
"7-11 years",1.23
"12-17 years",0.82
"18-24 years",0.73
"25-34 years",0.5
"35-44 years",0.74
"45-54 years",0.82
"55-64 years",1.04
"65-74 years",0.83
