Age,"Standard error of the mean"
"7-74 years",0.4
"7-11 years",0.92
"12-17 years",0.62
"18-24 years",0.59
"25-34 years",0.42
"35-44 years",0.55
"45-54 years",0.88
"55-64 years",0.86
"65-74 years",0.64
