| Birthweight (grams) | Number  |
| ------------------- | ------- |
| under 2500          | 311245  |
| under 1500          | 51733   |
| Less than 500       | 5189    |
| 500–999             | 18839   |
| 1000–1499           | 27705   |
| 1500–1999           | 61205   |
| 2000–2499           | 198307  |
| 2500–2999           | 713859  |
| 3000–3499           | 1462658 |
| 3500–3999           | 976609  |
| 4000–4499           | 243153  |
| 4500–4999           | 32694   |
| 5000 or more        | 3654    |
