Age,"Northeast : Mean","Northeast : standard error","Northeast : standard deviation","Midwest : Mean","Midwest : standard error","Midwest : standard deviation","South : Mean","South : standard error","South : standard deviation","West : Mean","West : standard error","West : standard deviation"
"7-74 years",78.3,0.62,13.7,79.7,0.34,13.2,79.7,0.69,14.1,78.8,0.79,13.4
"7-11 years",63.2,0.94,8.3,65.9,0.69,9.1,65.6,1.66,10.3,65.6,1.19,10.4
"12-17 years",70,0.9,10.2,71.4,0.69,9.2,69.8,0.49,10.4,70.7,0.8,10.4
"18-24 years",77.5,1.25,10,76.5,0.66,9,76.1,0.94,10.3,75.4,1.32,10.8
"25-34 years",80.3,0.85,10.7,81.6,0.79,9.3,82.1,0.85,10.1,80.1,1.39,11
"35-44 years",83.7,1.19,11.4,85.7,1.1,11.4,85,1.34,12.4,84.8,0.88,10.9
"45-54 years",87.2,1.5,13.8,88.7,0.65,13,89.4,1.94,13.9,86.5,1.42,11.7
"55-64 years",84.9,1.98,12.7,87.3,0.65,12.1,87.9,0.95,11.7,87.2,1.74,12.7
"65-74 years",85.3,1.06,13.2,85.2,0.95,13.2,86.3,0.91,13.6,85,1.66,12.8
"Age-adjusted value",78.4,,,79.7,,,79.6,,,78.8,,
