Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15181,95,3.2,24,5767,95,6.1,20,8001,95,3.8,25
"Under 6 years",3461,77,3.5,31,1581,71,3.8,24,1580,82,4.6,38
"6–11 years",1553,92,7.7,28,733,106,18.4,29,693,85,6.7,26
"12–19 years",1658,88,8.2,12,711,106,18.9,13,796,80,8.7,12
"20–59 years",5921,94,4.2,19,1939,96,7.7,16,3484,94,5.2,20
"60 years and over",2588,110,5,58,803,92,6.6,33,1448,114,6.3,67
