Age,"Standard error"
"8–11 years",0.054
"12–15 years",0.089
"16–19 years",0.088
"20–29 years",0.086
"30–39 years",0.088
"40–49 years",0.083
"50–59 years",0.085
"60–69 years",0.089
"70–79 years",0.086
"80 years and over",0.088
