Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",6780,119,0.2,101,111,118,125,134
"18–39 years",3676,117,0.3,101,110,116,123,132
"40–59 years",1940,119,0.3,102,112,118,125,135
"60 years and over",1164,121,0.4,99,113,122,130,137
