Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",6780,70,0.2,53,64,71,77,85
"18–39 years",3676,68,0.2,51,61,69,76,84
"40–59 years",1940,74,0.2,60,69,74,80,86
"60 years and over",1164,67,0.3,49,61,67,74,82
