Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,1385.43,173.29,1155.16,1208.16,1238.26,1273.35,1359.44,1465.73,1540.98,1621.58,1728.37
"12–15 years",2264,1892.79,303.75,1432.46,1488.17,1541.9,1651.57,1896.8,2121.18,2228.47,2284.43,2356.98
"16–19 years",2309,2237.82,218.98,1889.06,1962.9,2012.5,2091.39,2231.77,2377.84,2453.66,2516.29,2603.75
"20–29 years",1530,2287.04,213.77,1948.13,2024.37,2075.21,2149.05,2280.41,2416.98,2500.66,2557.67,2648.46
"30–39 years",1450,2282.97,211.36,1948.62,2014.39,2070.83,2139.93,2277.48,2414.79,2493.62,2549.49,2631.06
"40–49 years",1549,2302.5,192.79,1985.67,2060.67,2113.18,2175.26,2293.65,2430.76,2497.68,2543.6,2617.29
"50–59 years",1187,2278.18,197.45,1955.56,2025.6,2074.71,2148.33,2281.49,2403.59,2477.35,2532.82,2594.46
"60–69 years",1350,2266.41,200.14,1933.9,2014,2061.57,2138.66,2267.98,2400.5,2470.28,2512.87,2585.41
"70–79 years",825,2213.22,200.92,1875.21,1955.21,2003.67,2081.56,2218.15,2360.55,2419.96,2468.03,2520.43
"80 years and over",501,2128,195.85,1789.13,1877.64,1925.61,2003.98,2129.79,2256.9,2324.73,2373.93,2457.52
"20 years and over (age-adjusted)",8392,2272.49,,,,,,,,,,
