| Age   | Adult waist (5th) | Adult waist (50th) | Adult waist (95th) |
| ----- | ----------------- | ------------------ | ------------------ |
| 2     | 47                | 51                 | 57                 |
| 3     | 48                | 53                 | 59                 |
| 4     | 50                | 55                 | 61                 |
| 5     | 51                | 56                 | 65                 |
| 6     | 51                | 58                 | 68                 |
| 7     | 53                | 60                 | 71                 |
| 8     | 54                | 62                 | 78                 |
| 9     | 56                | 64                 | 90                 |
| 10    | 55                | 67                 | 89                 |
| 11    | 59                | 70                 | 96                 |
| 12    | 60                | 74                 | 102                |
| 13    | 61                | 74                 | 103                |
| 14    | 65                | 78                 | 98                 |
| 15    | 65                | 80                 | 109                |
| 16    | 71                | 80                 | 99                 |
| 17    | 71                | 83                 | 108                |
| 18    | 70                | 82                 | 105                |
| 19    | 74                | 84                 | 108                |
| 20+   | 81                | 100                | 126                |
| 20–29 | 77                | 91                 | 119                |
| 30–39 | 82                | 99                 | 123                |
| 40–49 | 84                | 103                | 129                |
| 50–59 | 89                | 106                | 129                |
| 60–69 | 88                | 109                | 128                |
| 70–79 | 86                | 107                | 128                |
| 80+   | 84                | 104                | 122                |
