Age,"Adult waist (5th)","Adult waist (50th)","Adult waist (95th)"
"2 years",47,51,57
"3 years",48,53,59
"4 years",50,55,61
"5 years",51,56,65
"6 years",51,58,68
"7 years",53,60,71
"8 years",54,62,78
"9 years",56,64,90
"10 years",55,67,89
"11 years",59,70,96
"12 years",60,74,102
"13 years",61,74,103
"14 years",65,78,98
"15 years",65,80,109
"16 years",71,80,99
"17 years",71,83,108
"18 years",70,82,105
"19 years",74,84,108
"20 years and over",81,100,126
"20–29 years",77,91,119
"30–39 years",82,99,123
"40–49 years",84,103,129
"50–59 years",89,106,129
"60–69 years",88,109,128
"70–79 years",86,107,128
"80 years and over",84,104,122
