| Age   | Adult waist (5th) | Adult waist (50th) | Adult waist (95th) |
| ----- | ----------------- | ------------------ | ------------------ |
| 2     | 50                | 56                 | 61                 |
| 3     | 51                | 57                 | 67                 |
| 4     | 53                | 60                 | 68                 |
| 5     | 53                | 61                 | 70                 |
| 6     | 54                | 62                 | 74                 |
| 7     | 55                | 65                 | 81                 |
| 8     | 57                | 68                 | 81                 |
| 9     | 58                | 70                 | 93                 |
| 10    | 60                | 71                 | 98                 |
| 11    | 62                | 77                 | 98                 |
| 12    | 63                | 79                 | 103                |
| 13    | 67                | 83                 | 110                |
| 14    | 71                | 86                 | 114                |
| 15    | 72                | 83                 | 101                |
| 16    | 74                | 84                 | 111                |
| 17    | 73                | 89                 | 112                |
| 18    | \-                | 87                 | \-                 |
| 19    | \-                | 87                 | \-                 |
| 20+   | 79                | 100                | 135                |
| 20–29 | 76                | 89                 | 124                |
| 30–39 | 78                | 97                 | 135                |
| 40–49 | 81                | 101                | 135                |
| 50–59 | 84                | 108                | 141                |
| 60–69 | 85                | 109                | 138                |
| 70–79 | 86                | 108                | 137                |
| 80+   | 86                | 106                | 127                |
