Age,Total,"Under 12 years","12 years","13 years or more"
"25-64 years",276.2,470.8,379.3,158.4
"25-34 years",66,124,97.8,37.4
"35-44 years",142.8,251.2,193.2,85.8
"45-54 years",314.2,505.7,411.2,205.7
"55-64 years",772.2,996.7,926,489.1
"Age-adjusted Rate",272.8,409,347.7,171.9
