Age,Total,"Under 12 years","12 years","13 years or more"
"25-64 years",463.4,830,624.6,253.7
"25-34 years",148.8,282.5,218.6,68.9
"35-44 years",256.1,488.5,351.5,126.1
"45-54 years",548.2,965.3,803.3,315.4
"55-64 years",1240.3,1811.4,1590.7,725.8
"Age-adjusted Rate",468.9,780.2,641.8,260.8
