Age,Total,"Under 12 years","12 years","13 years or more"
"25-64 years",368.3,651,499,205.3
"25-34 years",107.2,208.4,161.8,52.3
"35-44 years",199,373.6,274.1,105.3
"45-54 years",428.9,730.2,591.3,261.2
"55-64 years",995.5,1375.4,1213,611.3
"Age-adjusted Rate",368.2,591,484.5,216.7
