| Age   | 5th   | 10th  | 15th  | 25th  | 50th  | 75th  | 85th  | 90th  | 95th  |
| ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 8–11  | 0.663 | 0.709 | 0.739 | 0.784 | 0.867 | 0.949 | 1.002 | 1.035 | 1.082 |
| 12–15 | 0.894 | 0.94  | 0.968 | 1.002 | 1.07  | 1.149 | 1.182 | 1.212 | 1.261 |
| 16–19 | 0.954 | 0.994 | 1.022 | 1.063 | 1.13  | 1.203 | 1.246 | 1.281 | 1.332 |
| 20–29 | 0.992 | 1.017 | 1.038 | 1.077 | 1.138 | 1.209 | 1.256 | 1.278 | 1.328 |
| 30–39 | 0.978 | 1.021 | 1.041 | 1.073 | 1.143 | 1.216 | 1.25  | 1.278 | 1.323 |
| 40–49 | 0.986 | 1.018 | 1.047 | 1.075 | 1.142 | 1.212 | 1.255 | 1.284 | 1.328 |
| 50–59 | 0.934 | 0.976 | 0.996 | 1.033 | 1.107 | 1.18  | 1.216 | 1.252 | 1.285 |
| 60–69 | 0.879 | 0.917 | 0.946 | 0.986 | 1.059 | 1.131 | 1.175 | 1.2   | 1.25  |
| 70–79 | 0.798 | 0.84  | 0.873 | 0.911 | 0.981 | 1.068 | 1.101 | 1.13  | 1.172 |
| 80+   | 0.718 | 0.763 | 0.793 | 0.828 | 0.902 | 0.992 | 1.037 | 1.068 | 1.11  |
