Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.691,0.727,0.746,0.785,0.858,0.925,0.961,0.992,1.036
"12–15 years",0.865,0.906,0.935,0.985,1.078,1.189,1.242,1.28,1.342
"16–19 years",1.072,1.115,1.145,1.192,1.277,1.369,1.422,1.457,1.514
"20–29 years",1.114,1.161,1.193,1.232,1.32,1.413,1.477,1.512,1.574
"30–39 years",1.115,1.153,1.177,1.215,1.305,1.403,1.459,1.504,1.565
"40–49 years",1.107,1.15,1.181,1.221,1.312,1.39,1.433,1.465,1.519
"50–59 years",1.073,1.124,1.148,1.192,1.284,1.366,1.421,1.458,1.507
"60–69 years",1.066,1.106,1.136,1.186,1.269,1.35,1.408,1.446,1.498
"70–79 years",1.013,1.052,1.088,1.138,1.229,1.314,1.363,1.397,1.451
"80 years and over",0.976,1.031,1.057,1.096,1.197,1.286,1.341,1.379,1.43
