| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 1.4  |
| 12–15              | 2.6  |
| 16–19              | 3.6  |
| 20–39              | 4    |
| 40–59              | 4    |
| 60–79              | 3.6  |
| 80+                | 2.9  |
| 20+                | 3.9  |
| 20+ (age adjusted) | 3.9  |
